Company,Latitude,Longitude,Employees,Annual Sales,Year Established,Business Description,Brand Names,Primary SIC Code,Primary SIC Code Description,NAICS Code,NAICS Code Description
"Brickham Stamping Co., Inc.",44.054472,-88.570762,50,$10Mil,1923,"Shims, washers, flanges & metal stampings",,3469,Metal stampings,332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)"
"Bryant Products, Inc.",43.144185,-88.601759,50,$15Mil (est),1991,"Conveyor belt tensioning devices, pulleys, lowers & idlers",,3535,Conveyors and conveying equipment,333922,Conveyor and Conveying Equipment Manufacturing
Bunzel's Meats,43.074767,-88.025662,50,"$500,000-$1Mil",1976,"Beef & pork processing, beef jerky & fresh homemade sausages for retail & wholesale customers",,2011,Meat packing plants,311611,Animal (except Poultry) Slaughtering
"Burton & Mayer, Inc.",43.177329,-88.077415,50,$14Mil,1938,Corporate headquarters & commercial & digital printing & mailing & fulfillment services,Bamco,2759,Printing-commercial,323117,Books Printing
C & S Manufacturing Corp.,44.815739,-87.381526,50,$9Mil,1962,Metal hardware & handles,Basset,3429,Hardware,332510,Hardware Manufacturing
"C.J.W., Inc.",42.680304,-87.808359,50,$17Mil (est),,"Wholesaler of beverages, including beer, juice & water",,5181,Beer and ale,424810,Beer and Ale Merchant Wholesalers
"Cabrio Cos., LLC",44.867584,-92.61955,50,"under $500,000",1987,Independently retractable roof & wall patio systems for homes & restaurants,,2452,Prefabricated wood buildings,321992,Prefabricated Wood Building Manufacturing
Calindo Savio Enterprise,42.944934,-88.112582,50,$8.8Mil (est),,Promotional merchandise & workwear screen printing & embroidery,,2759,Printing-commercial,323113,Commercial Screen Printing
Cardio Partners,45.938325,-89.696409,50,$18Mil (est),2002,"Distributor of medical supplies, including defibrillators & masks","Cardiac Science AEDs, Defibtech AEDs, HeartSine™, Powerheart®, Lifeline™, Philips, Zoll®",5047,Medical and hospital equipment,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers"
"Carfair Composites, Inc.",44.891482,-88.298022,50,$12Mil (est),1998,Fiberglass products,,3089,Plastic products,326199,All Other Plastics Product Manufacturing
"Cascade Asset Management, LLC",43.162833,-89.314869,50,$20Mil,1999,"Company headquarters & refurbished computers, distributor of refurbished computers & wholesaler of electronic parts & scrap metal reclaimed from recycled information technology equipment, including secure on-site inventory & data destruction services",,3571,Electronic computers,423690,Other Electronic Parts and Equipment Merchant Wholesalers
"Central National Gottesman, Inc.",43.060445,-88.221692,50,$22Mil (est),2007,Distributor of printing paper,,5111,Printing and writing paper,424110,Printing and Writing Paper Merchant Wholesalers
Central Wisconsin Woodworking Corp.,44.901057,-89.555827,50,$9.5Mil,1991,"Architectural woodwork, casework & office furniture, including engineering & design services, project management & installation",,2431,Millwork,337211,Wood Office Furniture Manufacturing
Century Drill & Tool Corp.,44.462128,-88.098377,50,"$500,000-$1Mil",1940,Power tool accessories & hand tools,,3545,Machine tool accessories,333515,Cutting Tool and Machine Tool Accessory Manufacturing
Chemco Manufacturing,42.593053,-87.894241,50,$10Mil-$20Mil,1960,"Industrial air, process water, spray booth filtration & spray paint booth equipment & maintenance supplies","Aqua Pad, Duo Pad, Mono Pad, MaxGuard Filters, Pulsator Powder Cartridges, Pulsator Dust Cartridges, Paint Pockets Filters, Precisionaire, Andrea Style Accordian Filters, Filtrair",3564,Blowers and fans,333400,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing"
"Ci-Dell Plastics, Inc.",43.209352,-87.988801,50,$2.6Mil-$5Mil,1986,Custom thermoset plastic molding,,3089,Plastic products,333500,Metalworking Machinery Manufacturing
Cleereman Industries,45.73369,-88.704011,50,$6Mil-$10Mil,1985,Sawmill carriages & equipment,,3553,Woodworking machinery,333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing"
"Collectivo Coffee Roasters, Inc.",43.072415,-87.898218,50,$14Mil (est),1993,Coffee processing,,2095,Coffee-roasted,311920,Coffee and Tea Manufacturing
"Complete Heat Treating, LLC",43.01566,-87.909355,50,$1Mil-$2.5Mil,1939,"Heat treating of alloy bars, weldments, castings & forgings, including stress relieving, normalizing, sandblasting, quenching & tempering",,3398,Heat treating-metal,332811,Metal Heat Treating
Condon Oil Co.,43.846381,-88.837503,50,$22Mil (est),1980,"Wholesaler of petroleum products, including unbranded gasoline & distillates",,5172,Petroleum products,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)
"Connected Technology Solutions, LLC",43.188088,-88.092073,50,$15Mil (est),2004,Prepackaged patient check-in kiosk software development,,7372,Prepackaged software,513210,Software Publishers
"Consolidated Industries, LLC",43.173363,-88.712195,50,$11Mil-$25Mil,1985,Metal table slides for furniture industry,,3499,Metal products-fabricated,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
"Copps Industries, Inc.",43.209012,-87.998392,50,$23Mil (est),1979,"Epoxy coatings, grouts, flooring adhesives, electrical potting compounds & composites",,2821,Plastic materials and resins,325211,Plastics Material and Resin Manufacturing
Cotta Transmission Co.,42.513572,-89.029245,50,$13Mil (est),1906,"Industrial gearboxes, transfer cases, transmissions, high-speed gearboxes & specialty power transmission products",Cotta,3566,"Speed changers, drives and gears",333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing"
County Materials Corp.,44.950608,-89.855329,50,$9.2Mil (est),,"Precast concrete products, including pipes",,3272,Concrete products,327332,Concrete Pipe Manufacturing
CP Feeds,44.066877,-87.904924,50,$17Mil (est),2001,Animal feed,,2048,Feeds-prepared,311119,Other Animal Food Manufacturing
Crave Brothers Farmstead Cheese,43.23387,-88.965472,50,$20Mil (est),2002,Handcrafted fresh mozzarella cheese,,2022,"Cheese, natural and processed",311513,Cheese Manufacturing
"Creative Sign Co., Inc.",44.443986,-88.093701,50,$1Mil-$3Mil,2003,"Interior & exterior signs, vehicle wraps & vinyl lettering",,3993,Signs and advertising specialties,339950,Sign Manufacturing
"Crystal Finishing Systems, Inc.",44.871464,-92.618406,50,$1Mil-$2.5Mil,1993,"Aluminum extrusion & fabrication, plastic, liquid & powder coating & finishing",,3354,Aluminum extruded products,331318,"Other Aluminum Rolling, Drawing, and Extruding"
"Curtis Industries, Inc.",43.000946,-87.96702,50,$14Mil (est),1933,"Electronic components, including RFI & EMI filters, terminal blocks & power supplies","Tri-mag, Filter Networks",3679,Electronic components,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing
"Custom Marine, Inc.",44.14169,-88.497056,50,$5Mil-$10Mil,1988,"Stainless steel marine exhaust systems & components, including small engine mufflers, machining & stainless tube bending",,3732,Boat building and repairing,336612,Boat Building
"Custom Service Manufacturing, LLC",42.651395,-88.534298,50,$12Mil (est),2007,Paper die cutting & laminating,,2675,Die-cut paper and board,322299,All Other Converted Paper Product Manufacturing
"Custom Wire Technologies, Inc.",43.375265,-87.887575,50,$2.5Mil-$5Mil,2002,Microfine wire for medical equipment,,3496,Wire products-misc. fabricated,332619,Other Metal Wire Drawing
"D & D Equipment Co., Inc.",44.018145,-88.181252,50,$20Mil (est),,"Distributor of new & used farm, light construction & lawn & garden","Artsway, Brillion, Case IH, Massey Ferguson, McHale, Parker, Penta, Pottinger",5083,Farm and garden machinery,423820,Farm and Garden Machinery and Equipment Merchant Wholesalers
Delafield Brewhaus,43.048164,-88.355239,50,$7.2Mil (est),1999,Beer,,2082,Malt beverages,312120,Breweries
"DeltaHawk Engines, Inc.",42.761147,-87.80957,50,$11Mil-$25Mil,1996,"FAA-certified jet-fueled, diesel & SAF-fueled aircraft engines for general aviation & military drones, ground vehicles, power generation & trucking applications",DeltaHawk Engines,3724,Aircraft engines and engine parts,336411,Aircraft Manufacturing
"Design Air, LLC",43.012423,-88.038883,50,$24Mil (est),1922,Full-service wholesaler of HVAC equipment & supplies for residential & commercial HVAC contractors,,5075,Warm air heating and air conditioning,423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers
"Design Air, LLC",44.262204,-88.350784,50,$24Mil (est),1922,"Company headquarters & distributor of industrial & commercial heating & cooling equipment, HVAC supplies, sheet metal duct & pipe, hydronic supplies, ventilation, tools, fasteners, pipes, valves & fittings",,5075,Warm air heating and air conditioning,423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers
"Design Specialties, Inc.",43.175568,-88.0484,50,$14Mil (est),1983,Fireplace enclosures & tempered glass doors & screens,"Design Specialties, Hearth Craft",3429,Hardware,337110,Wood Kitchen Cabinet and Countertop Manufacturing
"DJS Manufacturing, Inc.",43.333095,-88.391507,50,$1Mil-$2.5Mil,1975,"Production machining & assembly, steel & stainless steel welding & fabrication",,3599,Industrial machinery,332710,Machine Shops
DLS Custom Automation,43.115204,-88.241382,50,$8.5Mil,,"Custom industrial machinery, including rebuilt machinery & robotics & industrial automation integration, mechanical & electrical engineering, retrofitting, recovery project, custom automation, engineering & design services",,3599,Industrial machinery,333249,Other Industrial Machinery Manufacturing
"Donald Schroeder Warehouse, Inc.",45.174761,-89.097224,50,$1Mil-$2.5Mil,1985,Distributor of potatoes,,5148,Fresh fruits and vegetables,424480,Fresh Fruit and Vegetable Merchant Wholesalers
Door Peninsula Winery,44.95177,-87.336798,50,"$500,000-$1Mil",1974,"Fruit wines, fruit varietal blended wines, varietal wines & premium varietal wines",,2084,"Wines, brandy, and brandy spirits",312130,Wineries
"Dream Kitchens, Inc.",43.025839,-89.465326,50,$8Mil (est),1967,Custom wooden kitchen cabinets,,2434,Kitchen cabinets-wood,337110,Wood Kitchen Cabinet and Countertop Manufacturing
"DreamPak, LLC",42.990238,-88.127024,50,$20Mil (est),2000,"Contract manufacturer of liquid beverage & flavoring concentrates, including liquid water enhancers, milk modifiers, coffee & tea concentrates & creamers",,2087,Flavoring extracts and syrups,311930,Flavoring Syrup and Concentrate Manufacturing
E. J. Dairy Marketing,44.987137,-90.820736,50,$20Mil (est),,Cheeses,,2022,"Cheese, natural and processed",311513,Cheese Manufacturing
Eagle Movers,43.024999,-87.923446,50,$11Mil (est),,Local & long-distance moving & storage services,,4214,"Local trucking, with storage",484210,Local Freight Transportation
EAU Claire Press Co.,44.872725,-91.444618,50,$6.8Mil (est),1912,"Newspaper, sheet-fed, web-fed & commercial printing","Eau Claire Leader Printing, The Country Today, Leader Telegram",2711,Newspapers,513110,Newspaper Publishers
"Engine Power, Inc.",43.074225,-88.47628,50,$22Mil (est),1993,Corporate headquarters & distributor of industrial engines,,5084,Industrial machinery and equipment,423830,Industrial Machinery and Equipment Merchant Wholesalers
"Engineered Plastic Components, Inc.",45.318795,-92.679244,50,$8Mil,1953,"Thermoplastic injection molding of high-precision medical, automotive & consumer good components & tooling services",,3089,Plastic products,326199,All Other Plastics Product Manufacturing
"EPSI-Engineered Products & Services, Inc.",42.768272,-87.956926,50,$5Mil,1951,"Manufacturer & distributor of custom injection-molded plastic & non-plastic masking, racking & hanging supplies for the surface finishing industry, including countersink pull plugs, caps, tapes, discs, hooks, tubing, sheeting, filters & hanging racks","LTP™, Flex-Tite Countersink Pull Plug (CPP), 3M, An-Kor Rack",3089,Plastic products,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring"
Estes Express Lines,42.69387,-87.800691,50,$11Mil (est),,"Local & long-distance moving & storage services, including LTL (less-than-truckload) trucking, transportation & custom shipping logistics services",,4214,"Local trucking, with storage",484210,Local Freight Transportation
Extract Technology Americas,43.884135,-90.17305,50,$15Mil (est),1950,Pharmaceutical barrier isolator systems for aseptic processing & potent compound containment & down flow booths for containment of drum dispensing & sampling operation,,3559,Machinery-special industry,333249,Other Industrial Machinery Manufacturing
"Fabiano Brothers, Inc.",44.892795,-89.520459,50,$17Mil (est),1959,Wholesaler of beer,,5181,Beer and ale,424810,Beer and Ale Merchant Wholesalers
"Faustel, Inc.",43.22298,-88.150547,50,$10Mil-$25Mil,1956,"Custom web processing equipment, including control systems, in-register coaters & printers, web coating, web drying, web laminating, web winding & web handling equipment for the paper, film & foil converting industries","LabMaster, PerfectStart, FilmMaster, TecMaster",3559,Machinery-special industry,333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing"
"Federal Tool & Engineering, LLC",43.393311,-88.171574,50,$2.6Mil-$5Mil,1925,Metal stampings & tool & die job shop,,3469,Metal stampings,332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)"
FedEx Freight,44.452038,-89.573075,50,$14Mil (est),1998,Divisional headquarters & local & long-distance freight trucking services,,4212,"Local trucking, without storage",484110,Local Freight Trucking
Feradyne Outdoors,46.745666,-92.096557,50,$11Mil (est),1991,Archery equipment,"Sure-Loc, Muzzy, BLOCK Targets, TRUFIRE, Nockturnal™, Rage®, GlenDel®, IQ Bowsights, S4Gear™, Shocker™, Apple Archery",3949,Sporting and athletic goods,339920,Sporting and Athletic Goods Manufacturing
"Fiberstar, Inc.",44.868823,-92.623164,50,$20Mil,1998,Multi-functional fibers from citrus pulp,Citri-Fi ,2099,Food preparations,311999,All Other Miscellaneous Food Manufacturing
"Filtration Systems, Inc.",43.04007,-88.205247,50,$16Mil (est),1980,Filters & elements,,3564,Blowers and fans,333400,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing"
Fincantieri ACE Marine,44.514601,-88.02013,50,$11Mil (est),,Aluminum marine vessels,,3731,Ship building and repairing,336611,Ship Building and Repairing
First Supply LLC,44.816301,-91.51771,50,$30Mil,1982,Distributor of plumbing supplies,"ADP Coils, Allied Air, American Air Filter, A.O. Smith, Aprilaire, Aquatherm, Beckett, Bell & Gossett, Boss, Bosch, Clarcor, Coleman, Duravant, Panasonic, US Boiler, Xylem, Zurn, Protech, IBC Boiler, Johnson Controls, Fisher",5074,Plumbing and hydronic heating supplies,423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers
First Supply LLC,42.907195,-87.917759,50,$21Mil (est),1991,"Wholesaler of plumbing, HVAC, industrial & waterworks equipment & supplies, including fixtures, pipe, fittings, pumps & valves","ADP Coils, Allied Air, American Air Filter, A.O. Smith, Aprilaire, Aquatherm, Beckett, Bell & Gossett, Boss, Bosch, Clarcor, Coleman, Duravant, Panasonic, US Boiler, Xylem, Zurn, Protech, IBC Boiler, Johnson Controls, Fisher",5074,Plumbing and hydronic heating supplies,423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers
First Supply LLC,44.263637,-88.439293,50,$21Mil (est),1888,"Wholesaler of plumbing, HVAC, industrial & waterworks equipment & supplies, including fixtures, pipe, fittings, pumps & valves","ADP Coils, Allied Air, American Air Filter, A.O. Smith, Aprilaire, Aquatherm, Beckett, Bell & Gossett, Boss, Bosch, Clarcor, Coleman, Duravant, Panasonic, US Boiler, Xylem, Zurn, Protech, IBC Boiler, Johnson Controls, Fisher",5074,Plumbing and hydronic heating supplies,423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers
"Fisher Barton, Inc.",43.188133,-88.727422,50,$180Mil,1973,"Corporate headquarters & industrial knives, bronze gear blanks, metal-worked stampings, fabrications & wear components, thermal spray powders & engineered coating solutions",,3524,Lawn and garden equipment,333111,Lawn and Garden Equipment Manufacturing
"FNA Group, Inc.",42.530278,-87.893184,50,$1Mil-$5Mil,1987,"Corporate headquarters & pressure washers, generators, water & high-pressure pumps, inverters, specialty trailers & high-pressure hose","Simpson, Delco, Dewalt, Craftsman, Troy-Bilt, Cub Cadet, AAA",3589,Service industry machinery,333310,Commercial and Service Industry Machinery Manufacturing
Foremost Farms USA,44.658315,-90.156698,50,$20Mil (est),,Cheese,,2022,"Cheese, natural and processed",311513,Cheese Manufacturing
Foremost Farms USA,43.528382,-90.003696,50,$29Mil (est),1995,"Butter, condensed skim milk, condensed buttermilk & sweet cream",,2021,Butter-creamery,311512,Creamery Butter Manufacturing
"Form-A-Feed, Inc.",45.12419,-92.538717,50,$25Mil-$100Mil,1899,"Animal formula feed, crop preservatives & milk replacers","Crop Cure®, Doboy®, Tend-R-Leen®",2048,Feeds-prepared,311119,Other Animal Food Manufacturing
"Fort Transportation & Service Co., Inc.",42.907073,-88.852673,50,$11Mil (est),1928,Commercial & residential local & long-distance LTL & TL trucking services with storage,,4214,"Local trucking, with storage",484210,Local Freight Trucking
"Fox Converting, Inc.",44.575409,-88.067728,50,$20Mil,1962,"Wide web converting of papers, films, boards, tissues & nonwovens, including flexographic printing, coating, laminating & sheeting & paper & foil bags, including paper & foil sheets & process development",,2679,Converted paper products,322220,Paper Bag and Coated and Treated Paper Manufacturing
Fox River Valley Ethanol,43.981928,-88.649379,50,$6Mil-$10Mil,1995,Bioethanol,,2869,Chemicals-industrial organic,325193,Ethyl Alcohol Manufacturing
"Fox Valley Iron & Metal & Auto Salvage, Inc.",44.018583,-88.620748,50,"$500,000-$1Mil",1991,Iron & metal processing,,3341,Secondary nonferrous metals,331493,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)"
"Fox Valley Steel Rule Die, Inc.",44.144431,-88.480625,50,$2.6Mil-$5Mil,1977,Steel cutting dies,,3544,"Dies, tools, jigs and fixtures-special",333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing"
Fox Valley Wood Products,44.311533,-88.227782,50,$11Mil (est),1963,"Wooden heat-treated pallets, skids, specialty crates & industrial-grade lumber",,2448,Pallets and skids-wood,321920,Wood Container and Pallet Manufacturing
"Foxland, Inc.",44.302782,-88.256142,50,$11Mil-$25Mil,1976,"Distributor of dairy livestock equipment, including feeding equipment, rubber flooring, livestock waterers, sand separators, slurrystone systems & manure handling",,5083,Farm and garden machinery,423820,Farm and Garden Machinery and Equipment Merchant Wholesalers
"Fremarq Innovations, Inc.",45.190398,-89.687819,50,$6Mil-$10Mil,2016,Architectural aluminum curtain wall framing,,3446,Architectural metal work,332323,Ornamental and Architectural Metal Work Manufacturing
"Frontline Building Products, Inc.",44.482114,-87.918668,50,$40Mil-$45Mil,1995,"Aluminum entry & patio door cladding, aluminum garage door frames & doors, aluminum pre-clad entry door frames, composite jambs, transoms, wooden residential & commercial window grilles & specialty windows",,3442,"Doors, sash and trim-metal",332321,Metal Window and Door Manufacturing
Furst McMess Co.,43.338411,-89.453678,50,$17Mil (est),2001,Animal feed,,2048,Feeds-prepared,311119,Other Animal Food Manufacturing
"Gannett Co., Inc.",43.751071,-87.712708,50,$6.8Mil (est),1907,Newspaper publishing,Sheboygan Press,2711,Newspapers,513110,Newspaper Publishers
"GardTec, Inc.",42.755004,-87.806289,50,$1Mil-$2.5Mil,1988,"Household fan parts, including standard & custom wire guards, plastic guards, trays & power cords",,3634,Electric housewares and fans,335210,Small Electrical Appliance Manufacturing
"Gem Manufacturing, Inc.",42.589955,-87.8922,50,$16Mil,1975,"Precision CNC-milled & turned components & parts for the military, hydraulics, agricultural, construction, truck, food processing equipment & material handling industries",,3599,Industrial machinery,332710,Machine Shops
GenMet Corp.,43.204818,-87.991296,50,$11Mil,1993,"Less than 1/2-inch thick steel, aluminum & stainless steel fabrication of truck & machinery parts for OEM customers, point-of-purchase displays & UL Type 1 & 3R electrical enclosures, including laser cutting, punching, forming, rolling & welding",,3499,Metal products-fabricated,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
"Goff's Enterprises, Inc.",43.080192,-88.25002,50,$7.6Mil (est),1987,"Industrial safety curtains, vinyl door products, privacy screens & fastening systems","Goff's Curtain Walls, G2 Doors",2391,Curtains and draperies,314120,Curtain and Linen Mills
Golden Eagle Log and Timber Homes Inc.,44.412273,-89.773341,50,$13Mil (est),1966,Manufactured log & timber homes & packages,Golden Eagle Log and Timber Homes,2452,Prefabricated wood buildings,321992,Prefabricated Wood Building Manufacturing
GPI Corp.,44.922567,-89.601981,50,$12Mil,1963,Fiberglass products,,3089,Plastic products,326199,All Other Plastics Product Manufacturing
"Graber Manufacturing, Inc.",43.184269,-89.428924,50,$1Mil-$2.5Mil,1989,"Ornamental iron, aluminum & steel site furniture, including benches, trash receptacles, tables & bicycle & skateboard racks & storage lockers","Madrax®, Thomas Steele®, MadLocker™",2531,Furniture-public building and related,337127,Institutional Furniture Manufacturing
"Graetz Manufacturing, Inc.",45.11126,-88.155808,50,$3Mil-$5Mil,1937,"Custom-built machinery & parts for the agriculture, industrial, recreational, forestry, mining & government markets, including barn cleaners, silo unloaders, T-bar positive lock chain, utility trailers & bulldozer brush rakes",,3599,Industrial machinery,333249,Other Industrial Machinery Manufacturing
Graff Designs,43.009595,-87.960892,50,$13Mil (est),,Faucets & plumbing hardware & valves,,3432,Plumbing fixture fittings and trim,332919,Other Metal Valve and Pipe Fitting Manufacturing
"Graphic House, Inc.",44.96445,-89.737298,50,$10Mil-$15Mil,1976,"Electrical interior & exterior signage, nonilluminated & wayfinding signs & electronic displays, including installation & service","Graphic House, Poblocki Sign",3993,Signs and advertising specialties,339950,Sign Manufacturing
"Graybar Electric Co., Inc.",43.023939,-88.045846,50,$22Mil (est),1997,"Distributor of electrical supplies, including wire, switches & panels",,5063,Electrical apparatus and equipment,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers"
"Grayhill, Inc.",44.50826,-89.131977,50,$8.6Mil (est),1980,Thermoset & thermoplastic molds & molding,,3544,"Dies, tools, jigs and fixtures-special",333511,Industrial Mold Manufacturing
"Great Lakes Components, LLC",42.665778,-88.548587,50,$30Mil,2000,Structural wall panels for the residential & commercial building construction industry,,2452,Prefabricated wood buildings,321992,Prefabricated Wood Building Manufacturing
Great Lakes Industrial,43.129682,-87.942118,50,$25Mil-$30Mil,1954,"Company headquarters & manufacturer & full-service industrial distributor of seals, hoses, gaskets, packings, fasteners & custom & standard o-rings for equipment manufacturers & repair operators","Parker Hannifin, Trelleborg, Fruedenberg, Eaton, Gates, Kuriyama, Garlock, Tetralon, Rubberlite, Cribmaster",3053,"Gaskets, packing and sealing devices",339991,"Gasket, Packing, and Sealing Device Manufacturing"
Griffin Industries Corp.,44.62797,-88.057241,50,$11Mil-$25Mil,1982,Pattern & machining job shop,,3599,Industrial machinery,332710,Machine Shops
"Guy Metals, Inc.",44.964578,-92.443835,50,$29Mil (est),1979,"Distributor of stainless steel & aluminum products, including shearing, plasma & waterjet cutting, sawing, polishing & cut-to-length",,5051,Metal service centers and offices,423510,Metal Service Centers and Other Metal Merchant Wholesalers
"Hacco, Inc.",43.537865,-88.993852,50,$6Mil-$10Mil,1948,"Rodenticides, cleaners & disinfectants",,2879,Agricultural chemicals,325320,Pesticide and Other Agricultural Chemical Manufacturing
"Handi-Ramp, Inc.",42.585668,-87.927792,50,$9.2Mil (est),1958,"Permanent & portable accessibility ramps & wheelchair lifts, including dock boards, dock plates & yard ramps & non-slip & non-skid sheet aluminum safety treads, nosings, strips & pads for stairs, decks, ramps, floors & walkways","HandiRamp, HandiTreads, People Treads, Stop The Slip",3446,Architectural metal work,332323,Ornamental and Architectural Metal Work Manufacturing
"Hart Design & Manufacturing, Inc.",44.520719,-87.973773,50,$14Mil (est),1975,"Cheese processing, packaging equipment & custom engineered pilot food processing machinery",,3556,Food products machinery,333241,Food Product Machinery Manufacturing
"Hartje Lumber, Inc.",43.5822,-90.12818,50,$70Mil-$75Mil,1969,Distributor of lumber & building materials for retail & wholesale customers,,5031,"Lumber, plywood and millwork",423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers"
"HD Ramps, LLC",43.203908,-88.150035,50,$15Mil,2003,Heavy-duty ramps,"HD Ramps, CANARAMP, Heavy Duty Ramps",3537,Trucks and tractors-industrial,333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing"
Hein Electric Supply Co.,43.007071,-88.056175,50,$22Mil (est),1947,"Distributor of electrical supplies, including wire, switches & panels",,5063,Electrical apparatus and equipment,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers"
Hexpol Compounding Corp.,42.84165,-88.71746,50,$14Mil (est),1950,Rubber mixing & compounding,,3069,Rubber products-fabricated,326291,Rubber Product Manufacturing for Mechanical Use
Hixwood Metal LLC,44.951179,-90.902554,50,$1Mil-$2.5Mil,1998,"Sheet metal roofing components for residential, commercial & agricultural applications",,3444,Sheet metal work,332322,Sheet Metal Work Manufacturing
"Homestead Cheese, LLC",43.175304,-89.253835,50,$5Mil-$10Mil,1981,"Company headquarters & distributor of Monterey jack, mozzarella, cheddar, Colby & Romano cheeses & cheese products, including curds, stringed, wedge & aged cheese & cheese spreads",,5143,"Dairy products, except dried or canned",311513,Cheese Manufacturing
"HOPPE North America, Inc.",42.942598,-88.831944,50,$9.3Mil,1987,Residential window & door hardware,,3429,Hardware,332321,Metal Window and Door Manufacturing
ICA Midwest,44.277815,-88.508319,50,"$500,000-$1Mil",1986,Wire harnesses & cable assemblies,,3496,Wire products-misc. fabricated,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing
"IFS Filing Systems, LLC",43.174194,-88.052403,50,"under $500,000",1917,Paper filing products,,2759,Printing-commercial,323100,Printing and Related Support Activities
"Illinois Tool Works, Inc.",43.229174,-88.708368,50,$16Mil (est),1977,Industrial fasteners,,3452,"Bolts, nuts, rivets and washers",332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing"
"IMF Solutions, LLC",44.09128,-87.68134,50,$18Mil,1913,"Office furniture, storage systems & modular panel systems, including laminate & metal desks, fabric-covered modular panels & metal filing cabinets",,2522,"Office furniture, except wood",337214,Office Furniture (except Wood) Manufacturing
"IMS/Electrol Co., Inc.",42.938258,-88.12042,50,$14Mil (est),1961,"Cable & wire harnesses & assemblies, including value-added & electromechanical assemblies",,3679,Electronic components,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing
"Indianhead Enterprises, Inc.",44.899038,-91.872254,50,$1Mil-$15Mil,1981,Packaging & assembly,,3089,Plastic products,322212,Folding Paperboard Box Manufacturing
Inspire Automation,44.454723,-89.502287,50,$18Mil,1977,"Graphics-related equipment for the corrugated, folding carton, lithographic & flexographic printing industries, including labeling, laminating, load handling & robotic equipment","Systec Conveyors, Automatan, Inspire Automation",3555,Printing trades machinery,333248,All Other Industrial Machinery Manufacturing
J & W Enterprises,44.537462,-88.093979,50,$14Mil (est),,Local & regional freight trucking services,,4212,"Local trucking, without storage",484110,"General Freight Trucking, Local"
J&D Manufacturing,44.793171,-91.410459,50,over $10Mil,1981,"Agriculture, horticulture & industrial ventilation fans, cow comfort equipment, LED lighting & cooling & misting products","Extreme Air, Pruden Ventilation",3564,Blowers and fans,333400,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing"
"J. M. Grimstad, Inc.",42.891848,-88.149448,50,$25Mil-$35Mil,1934,Manufacturer of custom-engineered fluid power & machine control systems & distributor of fluid power components,,3569,Machinery-general industrial,332996,Fabricated Pipe and Pipe Fitting Manufacturing
"J.W. Winco, Inc.",42.99333,-88.128888,50,$20Mil,1978,"Standard metric & inch industrial parts, including adjustable levers, U & revolving handles, handwheels, cranks, leveling mounts, knobs, plungers, jigs, fixtures & fastening components",,3599,Industrial machinery,332710,Machine Shops
JAX INC.,43.159363,-88.121527,50,$20Mil,1955,"Petroleum-based & synthetic industrial lubricants & food-machinery greases & oils for the industrial, construction, manufacturing, transportation & food processing industries","Halo-Guard, Trolley-Glide, Magna-Plate, Compresyn",2992,Lubricating oils and greases,324191,Petroleum Lubricating Oil and Grease Manufacturing
Jenkins Systems & Service,43.707084,-87.753261,50,$1Mil-$5Mil,2008,"Custom CNC woodworking equipment & specialty & refurbished machinery, including shape & sand, double & single end tenoners, miter machines & dual & single spindle shapers",,3553,Woodworking machinery,333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing"
"Jet Intermodal, Inc.",42.968409,-87.926627,50,$14Mil (est),,Regional trucking & transloading services,,4213,"Trucking, except local",484121,"General Freight Trucking, Long-Distance, Truckload"
